,District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),no in Cohort_male,% Graduated_male,# in Cohort_female,% Graduated_female,# in Cohort_disadvantaged,% Graduated_disadvantaged,# in Cohort_white,% Graduated_white,# in Cohort_asian,% Graduated_asian,# in Cohort_hispanic,% Graduated_hispanic,# in Cohort_black,% Graduated_black,High School Graduates (#)_male,Attending Coll./Univ. (%)_male,High School Graduates (#)_female,Attending Coll./Univ. (%)_female,High School Graduates (#)_disadvantaged,Attending Coll./Univ. (%)_disadvantaged,High School Graduates (#)_white,Attending Coll./Univ. (%)_white,High School Graduates (#)_asian,Attending Coll./Univ. (%)_asian,High School Graduates (#)_hispanic,Attending Coll./Univ. (%)_hispanic,High School Graduates (#)_black,Attending Coll./Univ. (%)_black,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,Salary Totals,Average Salary,FTE Count
240,South Middlesex Regional Vocational Technical,8290000,       164,93.9,2.4,0.0,0.6,3.0,0.0,160,63.0,39.4,0.0,6.3,61.9,31.7,60.3,19.0,9.5,       100,93.0,        64,95.3,       113,92.9,        76,96.1,,,        77,90.9,         7,100.0,95.0,26.3,65,58.5,74,40.5,77.0,32.5,,,72.0,43.1,7.0,,     456,13.4,        685,42.8,57.2,5.7,44.1,38.2,"      $6,053,625","  $78,111",     78
241,South Shore Charter Public (District),4880000,        40,100.0,0.0,0.0,0.0,0.0,0.0,45,38.0,84.4,0.0,47.4,28.9,23.7,28.9,13.2,7.9,        21,100.0,        19,100.0,        13,100.0,        22,100.0,,,,,        12,100.0,24.0,87.5,21,81.0,5,,27.0,85.2,,,1.0,,12.0,,     284,18.0,        609,48.9,51.1,10.0,14.8,12.0,,,
242,South Shore Regional Vocational Technical,8730000,       143,93.7,2.8,0.0,0.7,2.8,0.0,139,71.0,51.1,1.4,31.0,33.8,33.8,31.0,21.1,9.9,        84,91.7,        59,96.6,        51,96.1,       134,93.3,,,,,         6,100.0,81.0,33.3,58,75.9,33,45.5,129.0,48.8,,,3.0,,7.0,,     514,13.0,        621,35.7,64.3,0.0,28.3,20.8,"      $4,911,976","  $79,353",     62
243,Southbridge,2770000,       146,71.2,5.5,7.5,1.4,14.4,0.0,113,72.0,63.7,0.0,25.0,54.2,20.8,51.4,19.4,1.4,        78,71.8,        68,70.6,       109,65.1,        64,75.0,,,        78,67.9,,,62.0,51.6,51,78.4,59,52.5,55.0,74.5,1.0,,55.0,52.7,2.0,,     969,17.6,"      2,226",48.2,51.8,17.3,21.2,63.0,"     $12,129,640","  $72,502",    167
244,Southeastern Regional Vocational Technical,8720000,       301,97.0,1.0,0.3,0.7,1.0,0.0,295,158.0,53.6,0.6,26.6,44.3,28.5,43.7,17.7,5.7,       163,95.7,       138,98.6,       199,96.5,       168,96.4,,,        35,97.1,        93,97.8,158.0,45.6,137,62.8,128,56.3,162.0,39.5,,,37.0,59.5,91.0,73.6,     631,16.1,"      1,353",47.4,52.6,0.9,22.8,36.4,"     $10,123,304","  $80,922",    125
245,Southern Berkshire,7650000,        59,94.9,0.0,0.0,0.0,5.1,0.0,57,42.0,73.7,0.0,26.2,31.0,42.9,28.6,11.9,2.4,        30,93.3,        29,96.6,        25,88.0,        55,96.4,,,,,,,28.0,64.3,29,82.8,17,70.6,54.0,75.9,,,,,,,     606,12.6,        767,47.6,52.4,1.4,14.3,27.2,"      $4,878,577","  $62,147",     79
246,Southern Worcester County Regional Vocational Technical,8760000,       261,94.3,1.9,0.8,0.4,2.7,0.0,256,107.0,41.8,0.0,32.7,38.3,29.0,37.4,22.4,3.7,       165,94.5,        96,93.8,       103,92.2,       247,94.3,,,        12,91.7,,,164.0,37.2,92,50.0,72,48.6,242.0,40.5,1.0,,12.0,,,,     883,13.9,"      1,118",40.7,59.3,0.0,17.7,24.0,"      $8,315,313","  $73,587",    113
247,Southwick-Tolland-Granville Regional School District,7660000,       164,90.9,1.8,0.0,1.2,6.1,0.0,152,122.0,80.3,0.0,32.0,30.3,37.7,30.3,17.2,10.7,        88,90.9,        76,90.8,        27,77.8,       153,90.2,,,,,,,83.0,72.3,69,89.9,16,68.8,141.0,81.6,4.0,,3.0,,2.0,,     855,15.8,"      1,629",49.0,51.0,1.6,20.1,19.3,"      $9,021,396","  $63,846",    141
248,Spencer-E Brookfield,7670000,       112,73.2,10.7,0.9,2.7,12.5,0.0,87,60.0,69.0,0.0,28.3,21.7,50.0,21.7,33.3,11.7,        60,68.3,        52,78.8,        57,56.1,        95,75.8,,,         7,57.1,,,45.0,55.6,42,83.3,16,43.8,77.0,71.4,2.0,,4.0,,,,     617,17.7,"      1,556",46.6,53.4,0.9,19.5,29.9,"      $7,202,402","  $63,401",    114
249,Springfield,2810000,"     1,739",68.8,8.6,5.9,1.6,15.0,0.1,1284,775.0,60.4,0.1,16.4,69.2,14.3,68.0,8.5,4.9,       927,65.6,       812,72.5,"     1,585",68.1,       233,75.5,        41,85.4,"     1,087",65.4,       361,72.9,648.0,53.7,636,67.1,912,55.9,189.0,61.9,39.0,69.2,765.0,56.9,280.0,67.1,"  15,377",16.8,"     25,441",47.8,52.2,14.9,20.0,72.1,"    $135,954,291","  $65,832","  2,065"
250,Stoneham,2840000,       155,91.6,4.5,0.0,0.0,3.9,0.0,143,109.0,76.2,0.0,42.2,12.8,45.0,12.8,18.3,11.9,        72,87.5,        83,95.2,        52,84.6,       133,91.7,         7,100.0,,,,,64.0,68.8,79,82.3,26,42.3,123.0,78.0,7.0,,4.0,,4.0,,"   1,137",16.5,"      2,373",49.6,50.4,3.6,17.7,15.2,"     $13,338,311","  $71,442",    187
251,Stoughton,2850000,       259,90.7,3.9,0.0,0.0,5.4,0.0,241,209.0,86.7,0.0,29.2,29.7,41.1,29.2,16.7,15.8,       139,89.2,       120,92.5,       109,85.3,       178,89.3,         7,100.0,        18,88.9,        51,96.1,127.0,80.3,114,93.9,62,83.9,161.0,84.5,8.0,,17.0,88.2,51.0,90.2,"   1,961",17.1,"      3,695",48.0,52.0,4.1,15.3,24.6,"     $24,566,042","  $81,832",    300
252,Sturgis Charter Public (District),4890000,       200,97.5,2.0,0.0,0.0,0.5,0.0,197,178.0,90.4,0.0,52.2,10.1,37.6,10.1,9.0,16.9,        92,97.8,       108,97.2,        41,92.7,       183,98.4,,,         6,83.3,,,91.0,86.8,106,93.4,35,91.4,182.0,90.7,3.0,,5.0,,,,     431,14.1,        802,59.1,40.9,0.0,11.6,11.6,,,
253,Sutton,2900000,       113,94.7,2.7,0.0,0.9,1.8,0.0,107,92.0,86.0,0.0,39.1,16.3,44.6,14.1,14.1,6.5,        53,96.2,        60,93.3,        19,84.2,       102,94.1,,,,,,,51.0,84.3,56,87.5,9,,96.0,86.5,2.0,,3.0,,,,     502,21.3,"      1,479",49.6,50.4,1.0,17.0,8.2,"      $7,204,778","  $71,689",    101
254,Swampscott,2910000,       169,93.5,4.1,0.0,0.6,1.8,0.0,162,139.0,85.8,0.0,44.6,12.9,42.4,12.2,12.9,10.8,        78,89.7,        91,96.7,        44,93.2,       154,94.2,,,         7,71.4,         6,100.0,72.0,81.9,90,88.9,32,81.3,149.0,85.9,1.0,,5.0,,6.0,,"   1,276",17.1,"      2,297",49.7,50.3,3.3,13.8,13.7,"     $14,707,396","  $77,776",    189
255,Swansea,2920000,       133,91.0,3.0,1.5,0.0,4.5,0.0,123,92.0,74.8,0.0,15.2,38.0,46.7,37.0,17.4,20.7,        61,85.2,        72,95.8,        50,84.0,       127,92.1,,,,,,,53.0,66.0,70,81.4,29,44.8,119.0,75.6,,,1.0,,1.0,,"   1,278",16.8,"      2,042",48.8,51.2,0.7,12.1,19.0,"     $10,721,617","  $66,511",    161
256,Tantasqua,7700000,       294,93.5,4.1,0.3,0.3,1.7,0.0,283,188.0,66.4,0.0,33.5,30.3,36.2,28.2,15.4,9.0,       152,92.1,       142,95.1,       100,85.0,       268,93.7,,,        11,81.8,,,147.0,53.7,136,80.1,67,55.2,258.0,65.5,3.0,,9.0,,4.0,,"   1,262",14.5,"      1,813",50.0,50.0,0.0,10.6,16.2,"     $10,905,485","  $78,911",    138
257,Taunton,2930000,       497,88.7,4.8,1.6,0.0,4.8,0.0,453,321.0,70.9,0.3,25.2,32.4,42.1,32.1,17.8,16.8,       244,85.7,       253,91.7,       267,82.8,       345,91.9,,,        59,86.4,        67,73.1,214.0,59.3,239,81.2,165,59.4,324.0,70.1,5.0,,51.0,70.6,51.0,78.4,"   3,169",20.9,"      8,148",48.8,51.2,3.9,18.9,40.6,"     $39,879,315","  $76,077",    524
258,TEC Connections Academy Commonwealth Virtual School District,39020000,       138,31.2,26.8,0.0,12.3,29.7,0.0,51,33.0,64.7,0.0,21.2,39.4,39.4,27.3,18.2,12.1,        51,23.5,        87,35.6,        53,17.0,       106,34.0,,,        12,8.3,         7,28.6,12.0,,39,66.7,12,,42.0,61.9,2.0,,2.0,,2.0,,     383,25.7,"      1,014",58.6,41.4,0.6,20.6,36.7,,,
259,Tewksbury,2950000,       257,92.6,2.3,0.0,1.9,3.1,0.0,240,209.0,87.1,0.5,36.4,20.6,42.6,20.1,13.9,14.8,       127,88.2,       130,96.9,        59,79.7,       233,92.7,         9,100.0,         9,77.8,         6,100.0,114.0,85.1,126,88.9,30,90.0,218.0,86.2,9.0,,7.0,,6.0,,"   1,403",20.6,"      3,595",48.8,51.2,0.9,15.9,13.1,"     $18,868,593","  $74,727",    253
260,Tri County Regional Vocational Technical,8780000,       227,96.0,0.9,0.0,0.9,2.2,0.0,221,116.0,52.5,0.9,35.3,31.9,31.9,25.9,10.3,12.1,       131,94.7,        96,97.9,        73,93.2,       211,95.7,,,         9,100.0,,,127.0,42.5,94,66.0,47,25.5,204.0,50.5,1.0,,9.0,,3.0,,     595,16.8,        999,43.2,56.8,0.4,26.9,19.0,"      $7,428,177","  $79,531",     93
261,Triton,7730000,       184,89.7,2.7,2.7,2.2,2.7,0.0,167,134.0,80.2,0.0,34.3,18.7,47.0,17.2,14.2,13.4,        96,85.4,        88,94.3,        51,76.5,       171,90.1,,,         8,75.0,,,83.0,77.1,84,83.3,25,64.0,156.0,79.5,2.0,,6.0,,2.0,,"   1,353",18.5,"      2,651",49.1,50.9,0.6,15.1,17.6,"     $16,898,037","  $80,200",    211
262,Tyngsborough,3010000,       134,94.0,3.7,0.0,0.0,2.2,0.0,126,109.0,86.5,0.0,38.5,19.3,42.2,18.3,5.5,22.0,        78,89.7,        56,100.0,        28,78.6,       123,93.5,,,,,,,70.0,78.6,56,96.4,18,66.7,115.0,85.2,5.0,,2.0,,1.0,,"   1,057",18.0,"      1,744",49.0,51.0,1.3,14.6,12.0,"      $9,765,442","  $74,205",    132
263,Upper Cape Cod Regional Vocational Technical,8790000,       164,99.4,0.6,0.0,0.0,0.0,0.0,163,92.0,56.4,0.0,27.2,33.7,39.1,33.7,22.8,14.1,        94,100.0,        70,98.6,        75,98.7,       148,99.3,,,         6,100.0,,,94.0,43.6,69,73.9,54,48.1,147.0,55.8,1.0,,6.0,,5.0,,     333,15.2,        686,39.1,60.9,0.0,17.8,23.2,"      $5,207,946","  $69,765",     75
264,Uxbridge,3040000,       151,82.1,7.9,1.3,1.3,7.3,0.0,149,114.0,76.5,0.0,31.6,29.8,38.6,27.2,22.8,8.8,        71,81.7,        80,82.5,        46,69.6,       138,82.6,,,,,,,72.0,63.9,77,88.3,32,65.6,130.0,76.9,2.0,,8.0,,4.0,,     668,19.8,"      1,857",47.4,52.6,1.1,15.1,17.3,"      $9,159,832","  $72,813",    126
265,Wachusett,7750000,       551,95.1,1.5,0.4,0.4,2.7,0.0,534,477.0,89.3,0.0,40.9,18.4,40.7,17.6,14.5,11.3,       277,93.1,       274,97.1,        77,81.8,       500,95.6,         9,100.0,        17,76.5,        12,100.0,268.0,86.2,266,92.5,46,67.4,486.0,90.7,9.0,,14.0,,13.0,,"   3,237",18.6,"      7,378",49.3,50.7,1.9,13.6,8.7,"     $32,777,537","  $71,442",    459
266,Wakefield,3050000,       257,96.1,1.9,0.4,0.8,0.8,0.0,250,207.0,82.8,0.0,42.0,16.4,41.5,15.9,11.1,18.8,       112,95.5,       145,96.6,        62,87.1,       230,96.1,         9,88.9,         7,100.0,         8,100.0,109.0,78.0,141,86.5,45,66.7,220.0,84.1,8.0,,8.0,,9.0,,"   1,352",18.6,"      3,509",49.7,50.3,1.7,16.1,11.8,"     $18,484,212","  $68,971",    268
267,Walpole,3070000,       298,95.0,3.7,0.0,0.3,1.0,0.0,287,259.0,90.2,0.0,47.5,8.5,44.0,7.7,10.4,17.4,       141,95.0,       157,94.9,        76,86.8,       253,94.9,        12,100.0,        15,100.0,        14,85.7,136.0,88.2,151,92.1,39,79.5,243.0,90.5,12.0,,16.0,81.3,12.0,,"   1,355",19.6,"      3,890",49.7,50.3,2.6,13.5,9.0,"     $21,838,879","  $75,358",    290
268,Waltham,3080000,       357,84.6,7.3,2.2,0.6,5.3,0.0,310,232.0,74.8,0.0,40.9,21.1,37.9,19.8,14.7,18.5,       189,79.4,       168,90.5,       176,77.8,       164,92.7,        29,89.7,       126,70.6,        27,92.6,156.0,65.4,154,84.4,80,68.8,155.0,80.6,25.0,88.0,93.0,60.2,26.0,84.6,"   3,133",17.0,"      5,604",47.4,52.6,19.0,18.3,26.8,"     $36,867,482","  $76,597",    481
269,Ware,3090000,        68,76.5,2.9,0.0,4.4,16.2,0.0,55,35.0,63.6,0.0,25.7,45.7,28.6,37.1,14.3,11.4,        31,71.0,        37,81.1,        39,64.1,        61,77.0,,,,,,,24.0,37.5,31,83.9,22,54.5,50.0,64.0,1.0,,3.0,,,,     400,20.8,"      1,305",48.7,51.3,1.0,16.8,46.0,"      $5,539,431","  $60,474",     92
270,Wareham,3100000,       174,76.4,8.6,1.7,0.0,13.2,0.0,141,79.0,56.0,0.0,29.1,25.3,45.6,25.3,25.3,17.7,        92,70.7,        82,82.9,       107,67.3,       121,76.0,,,        12,66.7,        24,79.2,74.0,44.6,67,68.7,58,41.4,98.0,58.2,2.0,,9.0,,18.0,61.1,"   1,733",16.6,"      2,584",47.5,52.5,0.9,24.1,46.0,"     $13,483,291","  $67,721",    199
271,Watertown,3140000,       187,85.6,7.0,0.5,0.0,7.0,0.0,165,142.0,86.1,0.7,45.8,16.9,36.6,16.9,9.2,17.6,        93,81.7,        94,89.4,        81,77.8,       144,87.5,        14,78.6,        19,73.7,         7,85.7,79.0,84.8,86,87.2,52,78.8,130.0,86.9,10.0,,15.0,80.0,6.0,,"   1,078",16.1,"      2,712",49.0,51.0,10.9,20.6,24.2,"     $19,382,092","  $78,217",    248
272,Wayland,3150000,       232,97.4,1.7,0.0,0.0,0.9,0.0,227,214.0,94.3,0.0,63.6,3.3,33.2,3.3,4.2,12.6,       109,95.4,       123,99.2,        28,85.7,       170,97.1,        31,100.0,        13,92.3,         9,100.0,105.0,94.3,122,94.3,13,,166.0,93.4,31.0,96.8,12.0,,9.0,,"   1,148",16.9,"      2,671",49.1,50.9,2.1,18.3,5.0,"     $19,347,813","  $93,108",    208
273,Webster,3160000,       115,65.2,7.8,0.9,0.9,24.3,0.9,76,52.0,68.4,0.0,40.4,23.1,36.5,21.2,19.2,15.4,        57,59.6,        58,70.7,        63,47.6,        84,66.7,,,        21,52.4,,,36.0,66.7,40,70.0,25,56.0,58.0,69.0,3.0,,11.0,,2.0,,     648,21.2,"      1,898",49.3,50.7,5.2,18.8,48.5,"      $9,621,602","  $75,169",    128
274,Wellesley,3170000,       385,96.1,2.3,0.8,0.0,0.8,0.0,376,337.0,89.6,0.0,70.3,3.9,25.8,3.6,1.8,9.8,       176,93.8,       209,98.1,        37,94.6,       299,96.0,        38,94.7,        23,95.7,        11,100.0,171.0,87.1,205,91.7,25,96.0,292.0,90.4,37.0,86.5,22.0,86.4,11.0,,"   2,046",17.7,"      5,119",50.6,49.4,2.1,15.2,5.9,"     $35,045,998","  $93,536",    375
275,West Boylston,3220000,        62,88.7,4.8,0.0,0.0,6.5,0.0,55,50.0,90.9,0.0,28.0,22.0,50.0,22.0,32.0,14.0,        36,83.3,        26,96.2,        13,84.6,        57,87.7,,,,,,,30.0,90.0,25,92.0,7,,50.0,90.0,1.0,,3.0,,1.0,,     537,16.2,        924,51.4,48.6,2.3,14.4,17.2,"      $5,809,833","  $72,714",     80
276,West Bridgewater,3230000,       112,97.3,0.9,0.0,0.0,1.8,0.0,110,91.0,82.7,0.0,31.9,24.2,44.0,23.1,14.3,12.1,        53,96.2,        59,98.3,        31,93.5,       106,97.2,,,,,,,51.0,76.5,59,88.1,21,81.0,104.0,82.7,3.0,,1.0,,2.0,,     821,19.1,"      1,323",51.3,48.7,0.2,9.4,14.8,"      $6,417,768","  $69,833",     92
277,West Springfield,3320000,       310,85.8,5.5,2.6,0.3,5.8,0.0,281,189.0,67.3,0.0,18.0,49.2,32.8,48.7,12.2,6.9,       170,83.5,       140,88.6,       201,81.6,       209,86.6,        14,85.7,        67,88.1,        14,78.6,151.0,58.9,130,76.9,128,63.3,189.0,70.9,13.0,,63.0,54.0,13.0,,"   1,779",16.5,"      4,107",48.0,52.0,9.6,19.1,42.8,"     $20,608,097","  $68,261",    302
278,Westborough,3210000,       259,96.5,0.8,0.4,0.4,1.9,0.0,249,216.0,86.7,0.0,44.4,6.0,49.5,6.0,10.2,15.7,       125,96.8,       134,96.3,        35,91.4,       176,97.7,        53,94.3,        16,93.8,         7,85.7,122.0,85.2,127,88.2,22,77.3,172.0,90.7,50.0,84.0,14.0,,6.0,,"   1,913",17.3,"      3,738",48.6,51.4,8.8,15.9,7.8,"     $22,202,832","  $74,649",    297
279,Westfield,3250000,       442,85.1,4.5,1.8,0.7,7.9,0.0,390,272.0,69.7,0.4,26.8,43.0,29.8,42.3,14.7,10.3,       220,80.5,       222,89.6,       206,77.2,       378,88.4,        15,66.7,        35,62.9,         9,66.7,187.0,59.4,203,79.3,124,58.1,342.0,70.8,11.0,,26.0,46.2,7.0,,"   2,841",17.9,"      5,665",49.0,51.0,4.5,18.5,34.2,"     $30,449,769","  $70,616",    431
280,Westford,3260000,       421,97.4,1.9,0.0,0.2,0.5,0.0,415,387.0,93.3,0.0,49.4,7.8,42.9,7.2,4.4,16.5,       218,96.3,       203,98.5,        28,92.9,       319,97.8,        72,98.6,         6,83.3,,,212.0,92.9,203,93.6,18,66.7,315.0,94.0,72.0,90.3,5.0,,,,"   2,163",19.0,"      5,215",49.2,50.8,1.3,13.0,4.6,"     $28,450,526","  $78,942",    360
281,Weston,3300000,       197,93.9,5.6,0.5,0.0,0.0,0.0,188,167.0,88.8,0.0,67.1,6.0,26.9,6.0,2.4,4.8,       105,93.3,        92,94.6,        15,80.0,       146,93.2,        25,92.0,         7,100.0,        12,100.0,101.0,86.1,87,92.0,11,,138.0,89.9,24.0,87.5,7.0,,12.0,,"   1,201",15.5,"      2,203",48.8,51.2,4.2,16.9,4.2,"     $17,935,605","  $91,044",    197
282,Westport,3310000,        85,87.1,3.5,2.4,4.7,2.4,0.0,76,56.0,73.7,0.0,25.0,48.2,26.8,46.4,5.4,16.1,        44,79.5,        41,95.1,        36,80.6,        82,86.6,,,,,,,35.0,62.9,41,82.9,25,64.0,73.0,74.0,,,2.0,,1.0,,     767,17.6,"      1,526",45.8,54.2,1.0,16.7,20.1,"      $8,314,058","  $75,172",    111
283,Westwood,3350000,       212,97.6,1.9,0.0,0.5,0.0,0.0,216,198.0,91.7,0.0,58.6,6.6,34.8,6.6,6.6,13.6,       106,96.2,       106,99.1,        30,100.0,       181,97.8,        12,91.7,         8,100.0,        10,100.0,108.0,90.7,108,92.6,22,90.9,184.0,94.0,12.0,,8.0,,11.0,,"   1,403",18.6,"      3,178",49.7,50.3,0.7,17.4,4.5,"     $20,893,933","  $88,759",    235
284,Weymouth,3360000,       536,87.1,5.4,0.0,1.7,5.8,0.0,491,342.0,69.7,0.0,31.0,32.2,36.8,31.6,19.9,11.4,       284,85.9,       252,88.5,       192,71.9,       459,87.4,        16,87.5,        26,84.6,        20,85.0,258.0,61.6,233,78.5,111,55.9,423.0,69.0,14.0,,23.0,69.6,18.0,72.2,"   2,461",18.9,"      6,584",48.6,51.4,3.7,16.3,25.0,"     $33,278,365","  $78,821",    422
285,Whitman-Hanson,7800000,       314,92.4,5.1,0.6,0.3,1.6,0.0,298,219.0,73.5,0.5,34.2,31.5,33.8,30.6,21.5,7.8,       161,91.3,       153,93.5,       109,86.2,       295,92.2,,,         7,85.7,,,155.0,63.2,143,84.6,77,57.1,280.0,75.0,,,6.0,,4.0,,"   1,790",21.9,"      4,098",48.0,52.0,0.3,14.4,18.5,"     $19,205,540","  $80,526",    239
286,Whittier Regional Vocational Technical,8850000,       318,98.7,0.3,0.0,0.3,0.3,0.3,314,192.0,61.1,0.0,21.9,53.6,24.5,50.5,12.0,8.3,       162,98.1,       156,99.4,       138,98.6,       245,99.2,,,        55,100.0,,,159.0,50.9,155,71.6,94,50.0,243.0,61.7,4.0,,55.0,61.8,5.0,,     693,13.8,"      1,327",45.5,54.5,0.7,23.7,25.4,"      $9,353,064","  $83,659",    112
287,Wilmington,3420000,       210,93.3,4.3,0.0,1.0,1.4,0.0,201,176.0,87.6,0.0,43.8,19.3,36.9,19.3,13.1,11.9,        92,88.0,       118,97.5,        31,77.4,       191,94.8,         7,71.4,,,,,85.0,78.8,116,94.0,18,72.2,186.0,88.2,5.0,,4.0,,2.0,,"   1,792",17.7,"      3,387",49.3,50.7,1.0,16.7,8.9,"     $20,682,894","  $74,667",    277
288,Winchendon,3430000,        88,81.8,8.0,0.0,0.0,10.2,0.0,80,40.0,50.0,0.0,20.0,70.0,10.0,67.5,7.5,0.0,        58,81.0,        30,83.3,        59,76.3,        81,82.7,,,,,,,52.0,40.4,28,67.9,37,37.8,73.0,47.9,,,4.0,,1.0,,     507,18.5,"      1,317",45.8,54.2,1.5,21.2,38.0,"      $6,666,894","  $70,178",     95
289,Winchester,3440000,       319,96.9,1.9,0.3,0.3,0.6,0.0,311,282.0,90.7,0.0,67.7,4.3,28.0,3.5,2.5,11.3,       165,97.0,       154,96.8,        37,89.2,       249,96.8,        46,100.0,,,,,162.0,92.0,149,89.3,21,85.7,242.0,90.5,46.0,89.1,5.0,,5.0,,"   2,410",19.4,"      4,592",49.8,50.2,3.6,16.6,4.6,"     $25,804,881","  $76,709",    336
290,Winthrop,3460000,       149,86.6,4.0,2.7,1.3,5.4,0.0,134,114.0,85.1,0.0,33.3,19.3,47.4,19.3,16.7,17.5,        63,85.7,        86,87.2,        58,77.6,       121,88.4,,,        19,68.4,,,55.0,78.2,79,89.9,31,71.0,112.0,88.4,3.0,,12.0,,2.0,,     708,20.6,"      1,999",49.1,50.9,6.8,18.0,25.7,"      $9,394,048","  $62,921",    149
291,Woburn,3470000,       354,87.9,5.1,0.3,1.1,5.6,0.0,318,259.0,81.4,0.0,30.5,29.0,40.5,28.6,15.4,20.1,       166,85.5,       188,89.9,       136,77.2,       284,89.8,        13,84.6,        36,72.2,        13,92.3,146.0,79.5,172,83.1,71,71.8,260.0,82.7,11.0,,27.0,70.4,13.0,,"   2,773",17.3,"      4,792",50.0,50.0,5.1,17.6,24.4,"     $28,955,587","  $79,592",    364
292,Worcester,3480000,"     1,795",81.9,9.5,2.0,0.7,5.8,0.0,1572,998.0,63.5,0.1,23.7,45.6,30.6,44.3,17.1,9.7,       934,77.8,       861,86.4,"     1,451",79.9,       586,84.0,       140,93.6,       691,77.1,       330,86.4,789.0,55.8,783,71.3,921,56.4,526.0,64.1,137.0,80.3,580.0,51.6,296.0,78.0,"  10,147",16.7,"     25,388",48.5,51.5,37.2,18.9,55.9,"    $139,846,526","  $77,862","  1,796"
293,State Totals,0,"    74,045",87.5,5.7,1.1,0.8,4.9,0.0,67052,51118.0,76.2,0.2,36.9,26.1,36.9,25.1,11.5,14.3,"    37,695",85.0,"    36,350",90.2,"    32,694",78.4,"    49,420",91.9,"     4,236",92.7,"    11,675",72.7,"     6,826",78.9,33458.0,69.9,33594,82.6,19307,64.0,46481.0,78.4,4010.0,86.1,9103.0,61.8,5803.0,74.8," 443,158",18.0,"    961,574",48.7,51.3,9.1,17.0,29.1,"  $5,338,436,853","  $76,656"," 69,641"
